Name,Site_EPA_ID,Listing_Date,Site_Score,City,State,Latitude,Longitude
"Stamina Mills, Inc.",RID980731442,19830908,34.07,North Smithfield,RI,41.9964,-71.5647
"Landfill & Resource Recovery, Inc. (L&RR)",RID093212439,19830908,49.58,North Smithfield,RI,41.9795,-71.589
"Peterson/Puritan, Inc.",RID055176283,19830908,40.10,"Cumberland, Lincoln",RI,41.929581,-71.4268
Picillo Farm,RID980579056,19830908,,Coventry,RI,41.671669,-71.709169
Western Sand & Gravel,RID009764929,19830908,51.35,Burrillville,RI,41.9727,-71.595
Central Landfill,RID980520183,19860610,46.71,Johnston,RI,41.808331,-71.534719
Old Springfield Landfill,VTD000860239,19830908,34.79,Springfield,VT,43.272781,-72.466669
Pine Street Canal,VTD980523062,19830908,,Burlington,VT,44.466669,-73.218061
Parker Sanitary Landfill,VTD981062441,19900221,52.29,Lyndon,VT,44.518611,-71.989439
A. O. Polymer,NJD030253355,19830908,28.91,Sparta Township,NJ,41.04805,-74.63
American Cyanamid Co.,NJD002173276,19830908,50.28,Bound Brook,NJ,40.555561,-74.55945
Bog Creek Farm,NJD063157150,19830908,43.23,Howell Township,NJ,40.150831,-74.161111
Brick Township Landfill,NJD980505176,19830908,58.13,Brick Township,NJ,40.1098,-74.1311
Bridgeport Rental & Oil Services,NJD053292652,19830908,60.73,Bridgeport,NJ,39.801669,-75.321661
Burnt Fly Bog,NJD980504997,19830908,59.16,Marlboro Township,NJ,40.375,-74.279169
Caldwell Trucking Co.,NJD048798953,19830908,58.30,Fairfield,NJ,40.876389,-74.271389
Chemical Control,NJD000607481,19830908,47.13,Elizabeth,NJ,40.6432,-74.1935
"Chemsol, Inc.",NJD980528889,19830908,42.69,Piscataway,NJ,40.5625,-74.443339
Combe Fill South Landfill,NJD094966611,19830908,45.22,Chester Township,NJ,40.771669,-74.738331
CPS/Madison Industries,NJD002141190,19830908,69.73,Old Bridge Township,NJ,40.434439,-74.327769
D'Imperio Property,NJD980529416,19830908,55.79,Hamilton Township,NJ,39.454439,-74.658889
Dover Municipal Well 4,NJD980654131,19830908,28.90,Dover,NJ,40.8858,-74.5423
Ellis Property,NJD980529085,19830908,34.62,Evesham Township,NJ,39.905,-74.864719
Evor Phillips Leasing,NJD980654222,19830908,36.64,Old Bridge Township,NJ,40.4375,-74.325
Fair Lawn Well Field,NJD980654107,19830908,42.49,Fair Lawn,NJ,40.9375,-74.131939
GEMS Landfill,NJD980529192,19830908,68.53,Gloucester Township,NJ,39.77945,-75.018889
Goose Farm,NJD980530109,19830908,47.71,Plumstead Township,NJ,40.09555,-74.4975
"Hercules, Inc. (Gibbstown Plant)",NJD002349058,19830908,40.36,Gibbstown,NJ,39.838889,-75.277781
"Imperial Oil Co., Inc./Champion Chemicals",NJD980654099,19830908,33.87,Morganville,NJ,40.383889,-74.245831
JIS Landfill,NJD097400998,19830908,45.14,"Jamesburg, South Brunswick Township",NJ,40.365831,-74.465281
Kin-Buc Landfill,NJD049860836,19830908,50.64,Edison Township,NJ,40.4891,-74.3785
King of Prussia,NJD980505341,19830908,47.19,Winslow Township,NJ,39.62695,-74.889439
Helen Kramer Landfill,NJD980505366,19830908,72.66,Mantua Township,NJ,39.7801,-75.2003
Lang Property,NJD980505382,19830908,48.89,Pemberton Township,NJ,39.929161,-74.49445
Lipari Landfill,NJD980505416,19830908,75.60,Pitman,NJ,39.720281,-75.141939
Lone Pine Landfill,NJD980505424,19830908,66.33,Freehold Township,NJ,40.202781,-74.333339
Maywood Chemical Co.,NJD980529762,19830908,51.19,"Maywood, Rochelle Park",NJ,40.8964,-74.0693
Metaltec/Aerosystems,NJD002517472,19830908,48.95,Franklin Borough,NJ,41.109719,-74.599719
Montgomery Township Housing Development,NJD980654164,19830908,37.93,Montgomery Township,NJ,40.408331,-74.644169
Myers Property,NJD980654198,19830908,33.83,Franklin Township,NJ,40.595,-74.9404
NL Industries,NJD061843249,19830908,52.96,Pedricktown,NJ,39.758061,-75.424719
PJP Landfill,NJD980505648,19830908,28.73,Jersey City,NJ,40.734719,-74.085561
Price Landfill,NJD070281175,19830908,,Pleasantville,NJ,39.415281,-74.52695
Reich Farms,NJD980529713,19830908,53.48,Pleasant Plains,NJ,40.0106,-74.2149
Rockaway Borough Well Field,NJD980654115,19830908,42.34,Rockaway Township,NJ,40.905831,-74.515561
Rockaway Township Wells,NJD980654214,19830908,28.90,Rockaway Township,NJ,40.913331,-74.499169
Rocky Hill Municipal Well,NJD980654156,19830908,37.93,Rocky Hill Borough,NJ,40.401669,-74.6475
Roebling Steel Co.,NJD073732257,19830908,41.02,Florence,NJ,40.120831,-74.770839
Scientific Chemical Processing,NJD070565403,19830908,55.97,Carlstadt,NJ,40.82454,-74.074329
Sharkey Landfill,NJD980505762,19830908,48.85,"Parsippany, Troy Hills",NJ,40.8501,-74.3454
